Data;Valor
1957-01-01;0
1957-02-01;0
1957-03-01;0
1957-04-01;0
1957-05-01;0
1957-06-01;0
1957-07-01;0
1957-08-01;0
1957-09-01;0
1957-10-01;0
1957-11-01;0
1957-12-01;0
1958-01-01;0
1958-02-01;0
1958-03-01;0
1958-04-01;0
1958-05-01;0
1958-06-01;0
1958-07-01;0
1958-08-01;0
1958-09-01;0
1958-10-01;0
1958-11-01;0
1958-12-01;0
1959-01-01;0
1959-02-01;0
1959-03-01;0
1959-04-01;0
1959-05-01;0
1959-06-01;0
1959-07-01;0
1959-08-01;0
1959-09-01;0
1959-10-01;0
1959-11-01;0
1959-12-01;0
1960-01-01;0
1960-02-01;0
1960-03-01;0
1960-04-01;0
1960-05-01;0
1960-06-01;0
1960-07-01;0
1960-08-01;0
1960-09-01;0
1960-10-01;0
1960-11-01;0
1960-12-01;0
1961-01-01;105
1961-02-01;109
1961-03-01;82
1961-04-01;4
1961-05-01;13
1961-06-01;4
1961-07-01;2
1961-08-01;20
1961-09-01;1
1961-10-01;3
1961-11-01;27
1961-12-01;10
1962-01-01;47
1962-02-01;49
1962-03-01;36
1962-04-01;2
1962-05-01;6
1962-06-01;2
1962-07-01;1
1962-08-01;9
1962-09-01;0
1962-10-01;1
1962-11-01;12
1962-12-01;5
1963-01-01;0
1963-02-01;0
1963-03-01;0
1963-04-01;0
1963-05-01;0
1963-06-01;0
1963-07-01;0
1963-08-01;0
1963-09-01;0
1963-10-01;0
1963-11-01;0
1963-12-01;0
1964-01-01;16
1964-02-01;16
1964-03-01;12
1964-04-01;0
1964-05-01;3
1964-06-01;0
1964-07-01;0
1964-08-01;3
1964-09-01;0
1964-10-01;0
1964-11-01;4
1964-12-01;3
1965-01-01;30
1965-02-01;31
1965-03-01;24
1965-04-01;4
1965-05-01;7
1965-06-01;4
1965-07-01;2
1965-08-01;7
1965-09-01;3
1965-10-01;3
1965-11-01;9
1965-12-01;5
1966-01-01;69
1966-02-01;76
1966-03-01;54
1966-04-01;0
1966-05-01;5
1966-06-01;0
1966-07-01;0
1966-08-01;0
1966-09-01;0
1966-10-01;0
1966-11-01;3
1966-12-01;3
1967-01-01;4
1967-02-01;0
1967-03-01;3
1967-04-01;0
1967-05-01;0
1967-06-01;0
1967-07-01;0
1967-08-01;13
1967-09-01;0
1967-10-01;0
1967-11-01;15
1967-12-01;0
1968-01-01;0
1968-02-01;2
1968-03-01;0
1968-04-01;0
1968-05-01;4
1968-06-01;2
1968-07-01;0
1968-08-01;0
1968-09-01;0
1968-10-01;0
1968-11-01;0
1968-12-01;1
1969-01-01;3
1969-02-01;0
1969-03-01;0
1969-04-01;0
1969-05-01;8
1969-06-01;3
1969-07-01;1
1969-08-01;1
1969-09-01;0
1969-10-01;0
1969-11-01;2
1969-12-01;7
1970-01-01;24
1970-02-01;26
1970-03-01;27
1970-04-01;28
1970-05-01;32
1970-06-01;37
1970-07-01;38
1970-08-01;37
1970-09-01;34
1970-10-01;40
1970-11-01;43
1970-12-01;43
1971-01-01;6
1971-02-01;33
1971-03-01;96
1971-04-01;61
1971-05-01;107
1971-06-01;53
1971-07-01;56
1971-08-01;39
1971-09-01;43
1971-10-01;61
1971-11-01;104
1971-12-01;117
1972-01-01;64
1972-02-01;105
1972-03-01;135
1972-04-01;219
1972-05-01;259
1972-06-01;251
1972-07-01;205
1972-08-01;322
1972-09-01;152
1972-10-01;198
1972-11-01;181
1972-12-01;270
1973-01-01;221
1973-02-01;380
1973-03-01;312
1973-04-01;322
1973-05-01;169
1973-06-01;750
1973-07-01;275
1973-08-01;233
1973-09-01;333
1973-10-01;342
1973-11-01;827
1973-12-01;696
1974-01-01;477
1974-02-01;487
