Data;Valor
1957-01-01;2009
1957-02-01;2091
1957-03-01;2802
1957-04-01;2530
1957-05-01;2889
1957-06-01;2913
1957-07-01;3053
1957-08-01;2922
1957-09-01;2373
1957-10-01;2170
1957-11-01;1793
1957-12-01;3432
1958-01-01;4712
1958-02-01;4594
1958-03-01;5612
1958-04-01;4956
1958-05-01;5535
1958-06-01;5867
1958-07-01;5632
1958-08-01;5476
1958-09-01;4689
1958-10-01;4297
1958-11-01;3501
1958-12-01;6055
1959-01-01;8331
1959-02-01;8017
1959-03-01;8741
1959-04-01;7631
1959-05-01;8664
1959-06-01;9362
1959-07-01;8702
1959-08-01;8287
1959-09-01;7381
1959-10-01;6926
1959-11-01;5560
1959-12-01;9127
1960-01-01;13847
1960-02-01;12200
1960-03-01;12374
1960-04-01;9863
1960-05-01;11182
1960-06-01;12170
1960-07-01;11001
1960-08-01;10511
1960-09-01;9690
1960-10-01;9522
1960-11-01;7625
1960-12-01;11514
1961-01-01;15023
1961-02-01;12704
1961-03-01;13573
1961-04-01;10980
1961-05-01;12282
1961-06-01;13389
1961-07-01;11959
1961-08-01;11703
1961-09-01;10966
1961-10-01;10810
1961-11-01;9253
1961-12-01;12155
1962-01-01;19890
1962-02-01;17252
1962-03-01;17885
1962-04-01;14499
1962-05-01;16183
1962-06-01;17673
1962-07-01;15674
1962-08-01;15242
1962-09-01;14286
1962-10-01;13925
1962-11-01;11581
1962-12-01;16062
1963-01-01;16706
1963-02-01;15003
1963-03-01;16224
1963-04-01;13842
1963-05-01;15269
1963-06-01;16317
1963-07-01;14178
1963-08-01;13952
1963-09-01;13350
1963-10-01;12739
1963-11-01;11375
1963-12-01;14804
1964-01-01;15095
1964-02-01;13649
1964-03-01;17280
1964-04-01;14810
1964-05-01;16448
1964-06-01;17543
1964-07-01;15464
1964-08-01;14939
1964-09-01;14306
1964-10-01;13706
1964-11-01;12253
1964-12-01;15412
1965-01-01;18280
1965-02-01;15031
1965-03-01;18480
1965-04-01;14742
1965-05-01;16306
1965-06-01;17218
1965-07-01;15389
1965-08-01;15266
1965-09-01;14640
1965-10-01;14349
1965-11-01;12855
1965-12-01;15498
1966-01-01;18283
1966-02-01;16121
1966-03-01;20672
1966-04-01;17608
1966-05-01;19896
1966-06-01;20795
1966-07-01;19093
1966-08-01;18882
1966-09-01;18160
1966-10-01;17128
1966-11-01;15733
1966-12-01;19205
1967-01-01;11147
1967-02-01;14106
1967-03-01;20427
1967-04-01;16343
1967-05-01;19945
1967-06-01;21047
1967-07-01;21069
1967-08-01;21092
1967-09-01;19029
1967-10-01;21605
1967-11-01;19518
1967-12-01;21584
1968-01-01;13178
1968-02-01;19038
1968-03-01;22584
1968-04-01;22660
1968-05-01;23842
1968-06-01;22379
1968-07-01;25556
1968-08-01;25255
1968-09-01;24023
1968-10-01;27483
1968-11-01;25865
1968-12-01;26752
1969-01-01;22250
1969-02-01;27025
1969-03-01;31048
1969-04-01;32843
1969-05-01;31566
1969-06-01;29189
1969-07-01;29403
1969-08-01;29771
1969-09-01;25477
1969-10-01;26950
1969-11-01;25301
1969-12-01;38670
1970-01-01;27805
1970-02-01;28852
1970-03-01;33168
1970-04-01;37325
1970-05-01;32931
1970-06-01;33928
1970-07-01;35154
1970-08-01;33355
1970-09-01;36388
1970-10-01;40841
1970-11-01;41496
1970-12-01;35461
1971-01-01;26249
1971-02-01;34923
1971-03-01;42873
1971-04-01;42866
1971-05-01;46235
1971-06-01;45877
1971-07-01;41810
1971-08-01;40694
1971-09-01;43428
1971-10-01;48943
1971-11-01;48079
1971-12-01;47646
1972-01-01;40669
1972-02-01;46149
1972-03-01;53469
1972-04-01;47596
1972-05-01;51666
1972-06-01;50386
1972-07-01;52515
1972-08-01;60805
1972-09-01;39819
1972-10-01;50335
1972-11-01;49811
1972-12-01;58200
1973-01-01;49612
1973-02-01;60394
1973-03-01;57450
1973-04-01;56651
1973-05-01;64511
1973-06-01;57109
1973-07-01;61795
1973-08-01;66499
1973-09-01;58716
1973-10-01;72976
1973-11-01;68224
1973-12-01;61291
1974-01-01;58824
1974-02-01;59113
1974-03-01;76632
1974-04-01;69922
1974-05-01;70945
1974-06-01;60777
1974-07-01;76104
1974-08-01;76306
1974-09-01;70797
1974-10-01;77851
1974-11-01;65390
1974-12-01;72432
1975-01-01;64886
1975-02-01;62790
1975-03-01;76969
1975-04-01;65970
1975-05-01;67512
1975-06-01;77003
1975-07-01;70607
1975-08-01;65847
1975-09-01;79511
1975-10-01;80184
1975-11-01;69995
1975-12-01;77204
1976-01-01;65769
1976-02-01;73694
1976-03-01;81085
1976-04-01;71630
1976-05-01;75804
1976-06-01;78674
1976-07-01;72862
1976-08-01;71095
1976-09-01;79108
1976-10-01;69680
1976-11-01;68983
1976-12-01;87751
1977-01-01;60682
1977-02-01;58479
1977-03-01;80551
1977-04-01;62407
1977-05-01;73892
1977-06-01;82488
1977-07-01;63682
1977-08-01;63371
1977-09-01;64456
1977-10-01;73411
1977-11-01;83962
1977-12-01;85589
1978-01-01;66393
1978-02-01;70041
1978-03-01;89357
1978-04-01;74184
1978-05-01;80038
1978-06-01;93396
1978-07-01;79084
1978-08-01;86543
1978-09-01;70143
1978-10-01;91322
1978-11-01;87622
1978-12-01;84239
1979-01-01;86374
1979-02-01;74507
1979-03-01;63835
1979-04-01;84263
1979-05-01;89071
1979-06-01;90288
1979-07-01;72680
1979-08-01;94122
1979-09-01;68965
1979-10-01;101699
1979-11-01;97162
1979-12-01;91959
1980-01-01;89855
1980-02-01;91139
1980-03-01;89742
1980-04-01;32631
1980-05-01;77270
1980-06-01;80164
1980-07-01;88363
1980-08-01;95933
1980-09-01;99038
1980-10-01;85943
1980-11-01;75610
1980-12-01;74573
1981-01-01;72690
1981-02-01;48909
1981-03-01;40543
1981-04-01;48518
1981-05-01;41524
1981-06-01;46328
1981-07-01;42030
1981-08-01;44379
1981-09-01;47029
1981-10-01;48623
1981-11-01;47136
1981-12-01;53016
1982-01-01;48535
1982-02-01;48070
1982-03-01;57712
1982-04-01;52331
1982-05-01;50823
1982-06-01;56314
1982-07-01;56458
1982-08-01;59967
1982-09-01;56794
1982-10-01;67106
1982-11-01;63023
1982-12-01;74161
1983-01-01;60793
1983-02-01;58350
1983-03-01;67573
1983-04-01;66978
1983-05-01;68743
1983-06-01;53244
1983-07-01;49924
1983-08-01;65680
1983-09-01;63067
1983-10-01;59662
1983-11-01;53136
1983-12-01;60582
1984-01-01;45838
1984-02-01;57538
1984-03-01;53217
1984-04-01;55295
1984-05-01;59219
1984-06-01;58868
1984-07-01;49945
1984-08-01;59948
1984-09-01;57421
1984-10-01;61488
1984-11-01;65305
1984-12-01;53000
1985-01-01;61448
1985-02-01;58942
1985-03-01;68245
1985-04-01;24675
1985-05-01;37224
1985-06-01;51227
1985-07-01;74367
1985-08-01;76429
1985-09-01;76906
1985-10-01;91866
1985-11-01;81817
