Data;Valor
1957-01-01;2317
1957-02-01;2144
1957-03-01;2660
1957-04-01;2449
1957-05-01;2788
1957-06-01;2740
1957-07-01;2846
1957-08-01;2740
1957-09-01;2635
1957-10-01;2646
1957-11-01;2264
1957-12-01;2313
1958-01-01;4633
1958-02-01;4333
1958-03-01;5308
1958-04-01;4920
1958-05-01;5563
1958-06-01;5453
1958-07-01;5566
1958-08-01;5561
1958-09-01;5202
1958-10-01;5264
1958-11-01;4584
1958-12-01;4596
1959-01-01;7188
1959-02-01;6742
1959-03-01;8307
1959-04-01;7764
1959-05-01;8754
1959-06-01;8578
1959-07-01;8815
1959-08-01;8818
1959-09-01;8221
1959-10-01;8305
1959-11-01;7249
1959-12-01;7373
1960-01-01;10258
1960-02-01;9545
1960-03-01;11759
1960-04-01;10896
1960-05-01;12214
1960-06-01;11930
1960-07-01;12204
1960-08-01;12054
1960-09-01;11217
1960-10-01;11296
1960-11-01;9761
1960-12-01;9907
1961-01-01;11358
1961-02-01;10640
1961-03-01;13148
1961-04-01;11948
1961-05-01;13472
1961-06-01;13030
1961-07-01;13330
1961-08-01;13274
1961-09-01;12347
1961-10-01;12084
1961-11-01;10557
1961-12-01;10396
1962-01-01;15045
1962-02-01;13615
1962-03-01;17103
1962-04-01;15502
1962-05-01;17647
1962-06-01;17409
1962-07-01;17519
1962-08-01;17843
1962-09-01;16047
1962-10-01;16124
1962-11-01;13674
1962-12-01;13666
1963-01-01;13148
1963-02-01;12553
1963-03-01;15600
1963-04-01;14291
1963-05-01;16104
1963-06-01;15563
1963-07-01;16075
1963-08-01;16037
1963-09-01;14464
1963-10-01;15000
1963-11-01;12830
1963-12-01;12526
1964-01-01;13941
1964-02-01;13641
1964-03-01;16779
1964-04-01;15439
1964-05-01;17209
1964-06-01;16431
1964-07-01;17187
1964-08-01;16510
1964-09-01;15409
1964-10-01;15056
1964-11-01;13080
1964-12-01;13025
1965-01-01;14007
1965-02-01;13791
1965-03-01;16702
1965-04-01;15722
1965-05-01;16995
1965-06-01;16601
1965-07-01;17059
1965-08-01;16229
1965-09-01;15588
1965-10-01;15527
1965-11-01;13770
1965-12-01;13196
1966-01-01;19054
1966-02-01;16627
1966-03-01;21018
1966-04-01;17963
1966-05-01;20989
1966-06-01;19841
1966-07-01;19971
1966-08-01;20783
1966-09-01;19630
1966-10-01;17693
1966-11-01;15736
1966-12-01;15304
1967-01-01;14222
1967-02-01;14601
1967-03-01;19034
1967-04-01;17009
1967-05-01;19832
1967-06-01;21250
1967-07-01;20881
1967-08-01;23275
1967-09-01;19287
1967-10-01;21735
1967-11-01;18486
1967-12-01;15875
1968-01-01;13647
1968-02-01;18986
1968-03-01;22557
1968-04-01;22854
1968-05-01;24722
1968-06-01;22218
1968-07-01;26643
1968-08-01;24973
1968-09-01;24729
1968-10-01;28928
1968-11-01;25923
1968-12-01;23535
1969-01-01;22599
1969-02-01;26519
1969-03-01;31635
1969-04-01;30742
1969-05-01;33115
1969-06-01;31539
1969-07-01;35174
1969-08-01;30292
1969-09-01;33316
1969-10-01;26461
1969-11-01;25069
1969-12-01;27239
1970-01-01;28789
1970-02-01;29623
1970-03-01;33665
1970-04-01;35810
1970-05-01;33531
1970-06-01;36615
1970-07-01;37220
1970-08-01;32557
1970-09-01;36459
1970-10-01;39353
1970-11-01;39133
1970-12-01;33334
1971-01-01;28115
1971-02-01;33972
1971-03-01;43812
1971-04-01;43658
1971-05-01;45828
1971-06-01;46706
1971-07-01;48393
1971-08-01;46518
1971-09-01;41009
1971-10-01;48993
1971-11-01;46108
1971-12-01;42976
1972-01-01;35352
1972-02-01;47435
1972-03-01;55841
1972-04-01;50039
1972-05-01;56416
1972-06-01;51743
1972-07-01;49327
1972-08-01;57691
1972-09-01;44886
1972-10-01;57031
1972-11-01;52904
1972-12-01;50946
1973-01-01;43016
1973-02-01;56682
1973-03-01;56995
1973-04-01;55773
1973-05-01;65561
1973-06-01;57668
1973-07-01;61121
1973-08-01;67009
1973-09-01;59229
1973-10-01;74622
1973-11-01;72404
1973-12-01;59702
1974-01-01;58498
1974-02-01;67432
1974-03-01;79064
1974-04-01;72767
1974-05-01;75630
1974-06-01;59524
1974-07-01;79545
1974-08-01;76726
1974-09-01;72909
1974-10-01;83622
1974-11-01;62674
1974-12-01;70846
1975-01-01;69047
1975-02-01;67179
1975-03-01;77012
1975-04-01;78001
1975-05-01;75558
1975-06-01;77368
1975-07-01;77157
1975-08-01;71298
1975-09-01;76169
1975-10-01;82450
1975-11-01;67639
1975-12-01;64069
1976-01-01;68928
1976-02-01;75048
1976-03-01;78561
1976-04-01;73803
1976-05-01;77928
1976-06-01;78415
1976-07-01;78290
1976-08-01;79029
1976-09-01;78514
1976-10-01;80275
1976-11-01;83454
1976-12-01;72427
1977-01-01;62075
1977-02-01;76719
1977-03-01;77973
1977-04-01;62673
1977-05-01;78926
1977-06-01;74097
1977-07-01;71890
1977-08-01;78558
1977-09-01;66075
1977-10-01;72226
1977-11-01;82977
1977-12-01;78777
1978-01-01;70431
1978-02-01;75588
1978-03-01;87958
1978-04-01;78041
1978-05-01;84198
1978-06-01;93207
1978-07-01;86665
1978-08-01;94805
1978-09-01;71924
1978-10-01;92218
1978-11-01;90729
1978-12-01;85952
1979-01-01;92807
1979-02-01;78361
1979-03-01;64221
1979-04-01;87805
1979-05-01;99594
1979-06-01;94767
1979-07-01;77009
1979-08-01;100813
1979-09-01;73504
1979-10-01;103497
1979-11-01;105508
1979-12-01;93214
1980-01-01;95891
1980-02-01;85853
1980-03-01;92818
1980-04-01;34745
1980-05-01;86809
1980-06-01;94046
1980-07-01;90173
