Index,Total,Homens,Mulheres
1º trimestre 2021,171084,82711,88374
2º trimestre 2021,171485,82902,88583
3º trimestre 2021,171886,83093,88793
4º trimestre 2021,172283,83282,89001
1º trimestre 2022,172678,83470,89208
2º trimestre 2022,173068,83655,89412
3º trimestre 2022,173457,83841,89617
4º trimestre 2022,173844,84025,89820
1º trimestre 2023,174228,84207,90021
2º trimestre 2023,174607,84387,90220
3º trimestre 2023,174983,84566,90417
4º trimestre 2023,175352,84741,90611
1º trimestre 2024,175719,84915,90804
