"Tabela 1618 - Área plantada, área colhida e produção, por ano da safra e produto das lavouras"
"Variável - Área plantada (Hectares)"
"Produto das lavouras";"Mês x Ano da safra"
"Produto das lavouras";"abril 2024"
"Produto das lavouras";"Safra 2023";"Safra 2024"
"1 Cereais, leguminosas e oleaginosas";"78177376";"78038008"
"4 Banana";"464290";"461138"
"5 Batata - inglesa (1ª Safra)";"58286";"59344"
"6 Batata - inglesa (2ª Safra)";"41477";"40939"
"7 Batata - inglesa (3ª Safra)";"28862";"30941"
"8 Cacau";"623131";"630072"
"9 Café arábica";"1509733";"1530266"
"10 Café canephora";"411393";"418587"
"11 Cana-de-açúcar";"8987818";"8968588"
"12 Castanha-de-caju";"432487";"443025"
"15 Fumo";"324737";"332290"
"17 Juta";"-";"-"
"18 Laranja";"585448";"580264"
"21 Mandioca";"1272041";"1253853"
"24 Tomate";"56007";"55954"
"25 Uva";"76747";"76437"

