,populacao
2020-01,102845072.0
2020-02,102909572.0
2020-03,102974072.0
2020-04,103038083.0
2020-05,103102583.0
2020-06,103166106.0
2020-07,103230117.0
2020-08,103293640.0
2020-09,103357651.0
2020-10,103420685.0
2020-11,103484208.0
2020-12,103547242.0
2021-01,103610276.0
2021-02,103673310.0
2021-03,103735855.0
2021-04,103798889.0
2021-05,103860946.0
2021-06,103923491.0
2021-07,103985548.0
2021-08,104047604.0
2021-09,104109661.0
2021-10,104171229.0
2021-11,104232797.0
2021-12,104294365.0
2022-01,104355933.0
2022-02,104417013.0
2022-03,104478092.0
2022-04,104538683.0
2022-05,104599274.0
2022-06,104659865.0
2022-07,104720456.0
2022-08,104780558.0
2022-09,104840660.0
2022-10,104900273.0
2022-11,104959887.0
2022-12,105019501.0
2023-01,105079114.0
2023-02,105138239.0
2023-03,105197364.0
2023-04,105256000.0
2023-05,105314636.0
2023-06,105373273.0
2023-07,105431420.0
2023-08,105489568.0
2023-09,105547715.0
2023-10,105605374.0
2023-11,105663033.0
2023-12,105720692.0
