,populacao
2020-01,107628928.0
2020-02,107696428.0
2020-03,107763928.0
2020-04,107830917.0
2020-05,107898417.0
2020-06,107964894.0
2020-07,108031883.0
2020-08,108098360.0
2020-09,108165349.0
2020-10,108231315.0
2020-11,108297792.0
2020-12,108363758.0
2021-01,108429724.0
2021-02,108495690.0
2021-03,108561145.0
2021-04,108627111.0
2021-05,108692054.0
2021-06,108757509.0
2021-07,108822452.0
2021-08,108887396.0
2021-09,108952339.0
2021-10,109016771.0
2021-11,109081203.0
2021-12,109145635.0
2022-01,109210067.0
2022-02,109273987.0
2022-03,109337908.0
2022-04,109401317.0
2022-05,109464726.0
2022-06,109528135.0
2022-07,109591545.0
2022-08,109654442.0
2022-09,109717340.0
2022-10,109779727.0
2022-11,109842113.0
2022-12,109904500.0
2023-01,109966886.0
2023-02,110028761.0
2023-03,110090636.0
2023-04,110152000.0
2023-05,110213364.0
2023-06,110274727.0
2023-07,110335580.0
2023-08,110396432.0
2023-09,110457285.0
2023-10,110517626.0
2023-11,110577967.0
2023-12,110638308.0
