data,populacao
2016-01,25105
2016-02,21737
2016-03,25971
2016-04,21294
2016-05,21826
2016-06,22228
2016-07,24540
2016-08,24291
2016-09,21667
2016-10,18792
2016-11,20505
2016-12,25501
2017-01,16812
2017-02,14365
2017-03,20901
2017-04,17533
2017-05,21117
2017-06,20546
2017-07,20772
2017-08,23477
2017-09,20317
2017-10,20938
2017-11,21574
2017-12,25757
2018-01,20989
2018-02,18395
2018-03,2443
2018-04,26815
2018-05,26263
2018-06,26186
2018-07,27358
2018-08,30415
2018-09,26341
2018-10,29032
2018-11,25839
2018-12,28442
2019-01,23938
2019-02,21946
2019-03,22961
2019-04,26162
2019-05,25591
2019-06,22719
2019-07,25122
2019-08,26127
2019-09,24831
2019-10,25178
2019-11,23587
2019-12,29495
2020-01,22304
2020-02,21072
2020-03,17165
2020-04,8.367
2020-05,9.794
2020-06,17092
2020-07,18795
2020-08,17871
2020-09,19196
2020-10,18999
2020-11,19913
2020-12,21051
2021-01,16160
2021-02,13737
2021-03,17365
2021-04,17140
2021-05,19441
2021-06,24394
2021-07,24480
2021-08,23328
2021-09,21911
2021-10,21974
2021-11,24660
2021-12,29188
2022-01,18121
2022-02,15210
2022-03,17759
2022-04,18880
2022-05,22836
2022-06,26864
2022-07,22735
2022-08,24101
2022-09,25176
2022-10,22041
2022-11,30002
2022-12,29744
2023-01,20442
2023-02,17504
2023-03,27548
2023-04,22658
2023-05,27460
2023-06,27917
2023-07,29741
2023-08,33840
2023-09,29970
2023-10,34262
2023-11,35807
2023-12,44840
2024-01,31483
