data,populacao
2016-01,130178
2016-02,125072
2016-03,153248
2016-04,141645
2016-05,145663
2016-06,149569
2016-07,156868
2016-08,159599
2016-09,138294
2016-10,140245
2016-11,157651
2016-12,178828
2017-01,130407
2017-02,121302
2017-03,168248
2017-04,139361
2017-05,174445
2017-06,174408
2017-07,164043
2017-08,193057
2017-09,178894
2017-10,181919
2017-11,182631
2017-12,186858
2018-01,160277
2018-02,138510
2018-03,182935
2018-04,190515
2018-05,175634
2018-06,175796
2018-07,190151
2018-08,218208
2018-09,186998
2018-10,225700
2018-11,205106
2018-12,206089
2019-01,175856
2019-02,176695
2019-03,186204
2019-04,205774
2019-05,219849
2019-06,200479
2019-07,218492
2019-08,216858
2019-09,210017
2019-10,228183
2019-11,218723
2019-12,233063
2020-01,171155
2020-02,179925
2020-03,146460
2020-04,47368
2020-05,52396
2020-06,115726
2020-07,155692
2020-08,165524
2020-09,188514
2020-10,196045
2020-11,205097
2020-12,222916
2021-01,154986
2021-02,153654
2021-03,172024
2021-04,157976
2021-05,169237
2021-06,158059
2021-07,150973
2021-08,149456
2021-09,133164
2021-10,140375
2021-11,148304
2021-12,177865
2022-01,108397
2022-02,117121
2022-03,129060
2022-04,128362
2022-05,164228
2022-06,151203
2022-07,159259
2022-08,184506
2022-09,168802
2022-10,158866
2022-11,174009
2022-12,187179
2023-01,122410
2023-02,112445
2023-03,171426
2023-04,138072
2023-05,149064
2023-06,161611
2023-07,195853
2023-08,173903
2023-09,167769
2023-10,183586
2023-11,176842
2023-12,203719
2024-01,130132
