data,populacao
2016-01,155283
2016-02,146809
2016-03,179219
2016-04,162939
2016-05,167489
2016-06,171797
2016-07,181408
2016-08,183890
2016-09,159961
2016-10,159037
2016-11,178156
2016-12,204329
2017-01,147219
2017-02,135667
2017-03,189149
2017-04,156894
2017-05,195562
2017-06,194954
2017-07,184815
2017-08,216534
2017-09,199211
2017-10,202857
2017-11,204205
2017-12,212615
2018-01,181266
2018-02,156905
2018-03,207365
2018-04,217330
2018-05,201897
2018-06,201982
2018-07,217509
2018-08,248623
2018-09,213339
2018-10,254732
2018-11,230945
2018-12,234531
2019-01,199794
2019-02,198641
2019-03,209165
2019-04,231936
2019-05,245440
2019-06,223198
2019-07,243614
2019-08,242985
2019-09,234848
2019-10,253361
2019-11,242310
2019-12,262558
2020-01,193459
2020-02,200997
2020-03,163625
2020-04,55735
2020-05,62190
2020-06,132818
2020-07,174487
2020-08,183395
2020-09,207710
2020-10,215044
2020-11,225010
2020-12,243967
2021-01,171146
2021-02,167391
2021-03,189389
2021-04,175116
2021-05,188678
2021-06,182453
2021-07,175453
2021-08,172784
2021-09,155075
2021-10,162349
2021-11,172964
2021-12,207053
2022-01,126518
2022-02,132331
2022-03,146819
2022-04,147242
2022-05,187064
2022-06,178067
2022-07,181994
2022-08,208607
2022-09,193978
2022-10,180907
2022-11,204011
2022-12,216923
2023-01,142852
2023-02,129949
2023-03,198974
2023-04,160730
2023-05,176524
2023-06,189528
2023-07,225594
2023-08,207743
2023-09,197739
2023-10,217848
2023-11,212649
2023-12,248559
2024-01,161615
