data,populacao
2016-01,152778
2016-02,144333
2016-03,200352
2016-04,171298
2016-05,178895
2016-06,186250
2016-07,191779
2016-08,181197
2016-09,172105
2016-10,177570 
2016-11,219084
2016-12,201143
2017-01,179376
2017-02,201763
2017-03,236568
2017-04,191554
2017-05,253398
2017-06,214838
2017-07,225831
2017-08,266489
2017-09,239763
2017-10,253906
2017-11,254073
2017-12,219697
2018-01,219217
2018-02,213498
2018-03,267539
2018-04,266549
2018-05,212329
2018-06,256311
2018-07,245935
2018-08,291099
2018-09,223081
2018-10,263186
2018-11,244771
2018-12,177503
2019-01,199145
2019-02,257939
2019-03,240763
2019-04,267561
2019-05,275747
2019-06,233150 
2019-07,266992
2019-08,269758
2019-09,247455
2019-10,288519
2019-11,227455
2019-12,170504
2020-01,191731
2020-02,204206
2020-03,189958
2020-04,1847
2020-05,4308
2020-06,98447
2020-07,170651
2020-08,210009
2020-09,220162
2020-10,236468
2020-11,238200
2020-12,209296
2021-01,200398
2021-02,197035
2021-03,200340
2021-04,190907
2021-05,192843
2021-06,167547
2021-07,164156
2021-08,165330
2021-09,174087
2021-10,178965
2021-11,205720
2021-12,210925
2022-01,145417
2022-02,165935
2022-03,184786
2022-04,186037
2022-05,205916
2022-06,203598
2022-07,218950
2022-08,237961
2022-09,207762
2022-10,206044
2022-11,215796
2022-12,191567
2023-01,152666
2023-02,161518
2023-03,221835
2023-04,178853
2023-05,227914
2023-06,189182
2023-07,183016
2023-08,226954
2023-09,208889
2023-10,199758
2023-11,202675
2023-12,171578
2024-01,152564
