Data,LicenciamentoTotal,LicenciamentoNacionais,LicenciamentoImportados,Produção,Exportação
jan/16,155.283,130.178,25.105,152.778,23.834
fev/16,146.809,125.072,21.737,144.333,36.362
mar/16,179.219,153.248,25.971,200.352,41.593
abr/16,162.939,141.645,21.294,171.298,39.661
mai/16,167.489,145.663,21.826,178.895,48.603
jun/16,171.797,149.569,22.228,186.250,46.688
jul/16,181.408,156.868,24.540,191.779,46.113
ago/16,183.890,159.599,24.291,181.197,41.169
set/16,159.961,138.294,21.667,172.105,39.461
out/16,159.037,140.245,18.792,177.570,37.070
nov/16,178.156,157.651,20.505,219.084,56.722
dez/16,204.329,178.828,25.501,201.143,59.292
jan/17,147.219,130.407,16.812,179.376,38.125
fev/17,135.667,121.302,14.365,201.763,67.084
mar/17,189.149,168.248,20.901,236.568,69.283
abr/17,156.894,139.361,17.533,191.554,61.200
mai/17,195.562,174.445,21.117,253.398,73.432
jun/17,194.954,174.408,20.546,214.838,67.887
jul/17,184.815,164.043,20.772,225.831,65.579
ago/17,216.534,193.057,23.477,266.489,67.268
set/17,199.211,178.894,20.317,239.763,60.189
out/17,202.857,181.919,20.938,253.906,61.801
nov/17,204.205,182.631,21.574,254.073,73.073
dez/17,212.615,186.858,25.757,219.697,61.140
jan/18,181.266,160.277,20.989,219.217,46.398
fev/18,156.905,138.510,18.395,213.498,66.321
mar/18,207.365,182.935,24.430,267.539,67.488
abr/18,217.330,190.515,26.815,266.549,72.975
mai/18,201.897,175.634,26.263,212.329,60.754
jun/18,201.982,175.796,26.186,256.311,64.918
jul/18,217.509,190.151,27.358,245.935,49.705
ago/18,248.623,218.208,30.415,291.099,56.104
set/18,213.339,186.998,26.341,223.081,39.449
out/18,254.732,225.700,29.032,263.186,38.734
nov/18,230.945,205.106,25.839,244.771,34.441
dez/18,234.531,206.089,28.442,177.503,31.709
jan/19,199.794,175.856,23.938,199.145,30.261
fev/19,198.641,176.695,21.946,257.939,40.510
mar/19,209.165,186.204,22.961,240.763,39.098
abr/19,231.936,205.774,26.162,267.561,34.905
mai/19,245.440,219.849,25.591,275.747,42.126
jun/19,223.198,200.479,22.719,233.150,40.433
jul/19,243.614,218.492,25.122,266.992,42.089
ago/19,242.985,216.858,26.127,269.758,36.743
set/19,234.848,210.017,24.831,247.455,36.640
out/19,253.361,228.183,25.178,288.519,29.966
nov/19,242.310,218.723,23.587,227.455,31.735
dez/19,262.558,233.063,29.495,170.504,29.006
jan/20,193.459,171.155,22.304,191.731,20.549
fev/20,200.997,179.925,21.072,204.206,37.677
mar/20,163.625,146.460,17.165,189.958,30.772
abr/20,55.735,47.368,8.367,1.847,7.212
mai/20,62.190,52.396,9.794,43.080,3.870
jun/20,132.818,115.726,17.092,98.447,19.414
jul/20,174.487,155.692,18.795,170.651,29.126
ago/20,183.395,165.524,17.871,210.009,27.897
set/20,207.710,188.514,19.196,220.162,30.519
out/20,215.044,196.045,18.999,236.468,34.882
nov/20,225.010,205.097,19.913,238.200,44.007
dez/20,243.967,222.916,21.051,209.296,38.405
jan/21,171.146,154.986,16.160,200.398,25.918
fev/21,167.391,153.654,13.737,197.035,33.064
mar/21,189.389,172.024,17.365,200.340,36.777
abr/21,175.116,157.976,17.140,190.907,33.877
mai/21,188.678,169.237,19.441,192.843,36.984
jun/21,182.453,158.059,24.394,167.547,33.512
jul/21,175.453,150.973,24.480,164.156,23.766
ago/21,172.784,149.456,23.328,165.330,29.444
set/21,155.075,133.164,21.911,174.087,23.639
out/21,162.349,140.375,21.974,178.965,29.803
nov/21,172.964,148.304,24.660,205.720,28.018
dez/21,207.053,177.865,29.188,210.925,41.581
jan/22,126.518,108.397,18.121,145.417,27.708
fev/22,132.331,117.121,15.210,165.935,41.449
mar/22,146.819,129.060,17.759,184.786,38.898
abr/22,147.242,128.362,18.880,186.037,44.822
mai/22,187.064,164.228,22.836,205.916,46.073
jun/22,178.067,151.203,26.864,203.598,47.315
jul/22,181.994,159.259,22.735,218.950,41.908
ago/22,208.607,184.506,24.101,237.961,46.798
set/22,193.978,168.802,25.176,207.762,28.544
out/22,180.907,158.866,22.041,206.044,42.766
nov/22,204.011,174.009,30.002,215.796,43.437
dez/22,216.923,187.179,29.744,191.567,31.211
jan/23,142.852,122.410,20.442,152.666,33.048
fev/23,129.949,112.445,17.504,161.518,35.696
mar/23,198.974,171.426,27.548,221.835,45.419
abr/23,160.730,138.072,22.658,178.853,34.007
mai/23,176.524,149.064,27.460,227.914,45.660
jun/23,189.528,161.611,27.917,189.182,36.622
jul/23,225.594,195.853,29.741,183.016,30.457
ago/23,207.743,173.903,33.840,226.954,34.548
set/23,197.739,167.769,29.970,208.889,27.440
out/23,217.848,183.586,34.262,199.758,31.276
nov/23,212.649,176.842,35.807,202.675,24.068
dez/23,248.559,203.719,44.840,171.578,25.678
jan/24,161.615,130.132,31.483,152.564,18.837
